Transaction id,amount,merchant id,sector in company,day in month
4067,$35.54,testing,swe,13
3607,$909.65,amazon,marketing,15
2708,$21.59,testing,hardware,28
7214,$469.78,amazon,marketing,22
1164,$1142.18,aws,r&d,14
2570,$1760.72,google cloud,marketing,17
4872,$387.56,amazon,hardware,30
5241,$46.33,testing,hardware,23
1550,$168.26,amazon,marketing,26
4784,$748.34,google cloud,swe,23
418,$1209.11,google cloud,marketing,13
8238,$27.29,testing,hardware,2
5499,$1818.92,google cloud,marketing,12
2798,$10000.00,unkown,marketing,11
5152,$10000.00,unkown,marketing,4
8064,$826.69,google cloud,swe,5
5351,$40.39,testing,swe,3
7278,$10000.00,unkown,hardware,18
3546,$841.83,amazon,hardware,19
7756,$47.95,testing,r&d,13
1737,$10000.00,unkown,hardware,24
8978,$24.71,testing,marketing,25
8076,$48.27,testing,hardware,4
458,$35.39,testing,hardware,7
4870,$246.21,amazon,marketing,12
5861,$43.98,testing,r&d,19
4929,$1752.71,google cloud,r&d,11
3946,$487.42,amazon,hardware,17
718,$31.23,testing,marketing,29
7775,$43.44,testing,hardware,19
5920,$1117.26,aws,marketing,24
6792,$1550.77,aws,swe,1
9661,$39.00,testing,marketing,19
7350,$860.43,amazon,marketing,29
6673,$1052.62,google cloud,hardware,12
3866,$31.27,testing,r&d,11
5145,$988.19,aws,r&d,15
3703,$1340.37,google cloud,swe,25
2367,$1679.07,google cloud,marketing,20
5015,$686.00,amazon,hardware,4
7987,$1617.24,aws,swe,7
2814,$747.90,amazon,hardware,2
3664,$21.97,testing,marketing,18
7466,$10000.00,unkown,swe,15
4731,$1406.81,aws,marketing,15
8104,$793.23,aws,swe,23
9638,$1532.83,aws,swe,6
6760,$28.73,testing,marketing,24
7500,$1070.63,google cloud,hardware,28
3605,$1012.94,google cloud,r&d,1
1548,$22.34,testing,marketing,23
4323,$705.92,google cloud,r&d,14
3752,$45.82,testing,hardware,1
6458,$27.95,testing,swe,14
1511,$21.38,testing,r&d,10
4898,$23.80,testing,hardware,14
9213,$1404.36,aws,swe,30
8850,$22.84,testing,swe,12
865,$982.92,aws,r&d,26
4926,$1675.95,google cloud,swe,26
5835,$798.50,aws,hardware,17
9698,$936.16,aws,hardware,26
7372,$44.42,testing,hardware,20
8468,$132.53,amazon,marketing,3
2545,$1354.67,aws,swe,26
594,$979.69,aws,hardware,1
7562,$840.61,aws,hardware,10
7172,$1374.73,aws,r&d,20
834,$1209.97,aws,swe,21
8682,$982.86,amazon,r&d,10
9945,$241.64,amazon,hardware,1
824,$41.32,testing,hardware,19
4161,$935.24,amazon,swe,14
7557,$10000.00,unkown,swe,29
9915,$47.75,testing,r&d,11
8130,$662.88,google cloud,swe,12
7315,$10000.00,unkown,marketing,22
8225,$681.40,amazon,r&d,8
6119,$662.49,aws,marketing,10
1218,$27.85,testing,swe,10
572,$864.64,amazon,hardware,16
6317,$648.79,amazon,r&d,20
224,$1879.78,google cloud,marketing,27
6248,$28.22,testing,hardware,26
691,$753.21,aws,hardware,8
8004,$10000.00,unkown,marketing,28
7653,$44.39,testing,r&d,18
5549,$1215.08,aws,marketing,3
3662,$1477.63,aws,swe,14
4444,$352.31,amazon,r&d,30
1168,$10000.00,unkown,swe,22
2545,$37.34,testing,r&d,21
6220,$1135.02,aws,swe,30
1745,$857.51,amazon,r&d,20
4871,$21.12,testing,marketing,4
6082,$1738.54,aws,hardware,3
8774,$1060.55,aws,swe,22
8462,$45.38,testing,hardware,18
2136,$1415.05,google cloud,r&d,2
6713,$1404.85,aws,marketing,1
8599,$1211.04,aws,marketing,21
7818,$48.49,testing,r&d,29
7816,$390.32,amazon,r&d,6
4718,$227.79,amazon,marketing,21
6004,$1446.25,aws,r&d,14
777,$46.01,testing,r&d,18
6276,$334.38,amazon,swe,5
9504,$837.40,google cloud,hardware,16
8549,$43.63,testing,swe,12
4429,$1534.35,aws,swe,25
3270,$30.21,testing,marketing,16
6875,$370.86,amazon,hardware,25
6935,$1184.90,google cloud,hardware,19
7228,$30.75,testing,hardware,5
726,$1474.89,aws,r&d,12
2730,$10000.00,unkown,r&d,29
4276,$34.94,testing,swe,4
4289,$1458.99,aws,r&d,19
9973,$1017.00,google cloud,r&d,4
3143,$664.69,amazon,r&d,4
5246,$1506.57,aws,r&d,19
1942,$1115.66,aws,hardware,23
4746,$1836.53,aws,swe,6
3072,$1359.12,aws,swe,16
5119,$1143.18,google cloud,r&d,12
5382,$1350.64,aws,swe,8
9886,$23.00,testing,marketing,28
6891,$742.21,amazon,r&d,26
9316,$45.77,testing,r&d,23
8036,$234.25,amazon,r&d,14
5926,$1259.06,google cloud,hardware,9
6996,$1253.94,aws,r&d,10
9412,$43.25,testing,hardware,21
6542,$391.50,amazon,swe,26
3237,$34.95,testing,r&d,25
7252,$48.53,testing,marketing,3
8742,$922.17,aws,swe,26
4234,$905.91,aws,swe,1
6992,$1438.08,aws,marketing,20
4489,$1925.00,google cloud,swe,2
175,$22.98,testing,hardware,7
7587,$1106.10,aws,hardware,1
8783,$1736.39,aws,swe,5
8370,$779.63,amazon,swe,28
3724,$10000.00,unkown,hardware,11
1320,$287.82,google cloud,swe,25
7003,$48.85,testing,marketing,9
8898,$48.24,testing,hardware,10
8874,$511.11,amazon,hardware,14
7057,$1080.59,aws,swe,29
4571,$461.43,google cloud,r&d,11
8905,$711.54,aws,swe,19
6956,$35.33,testing,swe,29
5274,$1285.99,google cloud,r&d,4
5774,$626.33,aws,marketing,12
8221,$49.42,testing,hardware,7
8541,$154.31,amazon,marketing,20
3339,$1918.93,aws,hardware,14
3993,$823.66,aws,r&d,12
2572,$431.82,amazon,swe,11
45,$10000.00,unkown,swe,13
3016,$188.79,amazon,r&d,18
6117,$39.81,testing,marketing,16
5299,$864.79,google cloud,marketing,6
3351,$1730.89,aws,marketing,12
8777,$26.84,testing,swe,24
6528,$595.04,amazon,marketing,12
5557,$824.31,amazon,r&d,9
8681,$272.12,google cloud,swe,6
2089,$702.42,amazon,hardware,14
1651,$361.85,google cloud,r&d,30
6227,$10000.00,unkown,marketing,26
