Transaction id,amount,merchant id,sector in company,day in month
4485,$356.00,amazon,swe,25
1898,$546.00,google cloud,r&d,4
5730,$356.00,amazon,hardware,18
9007,$91.00,amazon,swe,7
7881,$965.00,aws,hardware,8
1373,$10000.00,unkown,marketing,3
56,$183.00,google cloud,marketing,21
1874,$385.00,amazon,marketing,30
4761,$573.00,aws,r&d,5
4585,$91.00,testing,hardware,1
7750,$997.00,google cloud,hardware,16
6440,$626.00,amazon,marketing,18
8381,$325.00,testing,hardware,18
5038,$875.00,aws,marketing,1
7378,$442.00,aws,hardware,2
6649,$766.00,google cloud,swe,4
1776,$754.00,google cloud,hardware,28
6041,$100.00,google cloud,r&d,26
414,$345.00,aws,marketing,13
4202,$704.00,testing,r&d,8
7242,$562.00,aws,r&d,29
4314,$496.00,testing,swe,13
9718,$649.00,aws,hardware,5
7600,$717.00,aws,marketing,9
3702,$930.00,aws,marketing,17
2722,$891.00,aws,swe,2
4921,$10000.00,unkown,swe,11
8217,$242.00,google cloud,marketing,7
8042,$664.00,amazon,marketing,6
222,$452.00,testing,swe,29
9496,$130.00,google cloud,marketing,14
9440,$89.00,google cloud,marketing,7
4589,$376.00,amazon,hardware,30
748,$412.00,testing,r&d,15
5002,$982.00,aws,swe,9
6741,$847.00,testing,r&d,13
379,$975.00,testing,swe,17
6660,$321.00,google cloud,swe,28
793,$244.00,aws,swe,3
5126,$10000.00,unkown,swe,6
1174,$174.00,google cloud,hardware,12
6748,$352.00,amazon,marketing,16
1761,$308.00,testing,hardware,11
102,$76.00,google cloud,r&d,21
3302,$387.00,google cloud,marketing,29
4610,$766.00,google cloud,swe,2
4294,$175.00,google cloud,swe,10
4993,$863.00,aws,hardware,13
3413,$451.00,amazon,swe,4
5876,$10000.00,unkown,hardware,23
8894,$136.00,google cloud,swe,21
8797,$10000.00,unkown,swe,11
5034,$564.00,testing,r&d,24
3784,$108.00,amazon,marketing,7
3982,$435.00,aws,r&d,30
3080,$672.00,aws,hardware,2
5574,$196.00,amazon,hardware,8
5257,$831.00,google cloud,marketing,21
3282,$863.00,google cloud,r&d,30
9169,$869.00,testing,hardware,1
2313,$10000.00,unkown,r&d,13
323,$322.00,amazon,r&d,16
3135,$607.00,testing,swe,23
2205,$956.00,aws,r&d,23
5504,$921.00,aws,marketing,6
3790,$514.00,amazon,hardware,28
3292,$278.00,testing,marketing,12
7790,$785.00,testing,r&d,16
2917,$668.00,testing,swe,29
7692,$892.00,google cloud,marketing,1
4362,$573.00,aws,marketing,13
243,$592.00,aws,swe,9
3035,$10000.00,unkown,swe,27
435,$10000.00,unkown,hardware,5
3671,$798.00,testing,hardware,5
2938,$208.00,google cloud,marketing,15
7592,$931.00,testing,hardware,24
605,$518.00,aws,r&d,29
6704,$600.00,google cloud,swe,26
7214,$169.00,aws,hardware,3
6215,$842.00,google cloud,swe,24
5936,$72.00,aws,swe,17
5178,$10000.00,unkown,hardware,6
3519,$643.00,testing,hardware,30
2058,$526.00,amazon,marketing,2
2091,$841.00,amazon,r&d,2
2806,$521.00,google cloud,swe,2
3221,$352.00,amazon,r&d,23
2265,$200.00,testing,r&d,15
1814,$986.00,testing,marketing,27
461,$358.00,amazon,r&d,5
6967,$658.00,testing,r&d,25
857,$899.00,testing,marketing,6
3833,$670.00,google cloud,marketing,12
6493,$294.00,testing,marketing,12
143,$102.00,aws,r&d,26
9007,$10000.00,unkown,swe,10
193,$762.00,google cloud,hardware,22
8669,$845.00,amazon,swe,9
1599,$393.00,aws,marketing,22
9839,$612.00,amazon,swe,4
485,$922.00,amazon,swe,19
4824,$483.00,google cloud,marketing,22
1779,$130.00,amazon,hardware,20
4588,$86.00,testing,marketing,28
2570,$255.00,amazon,marketing,3
639,$268.00,amazon,r&d,16
9561,$217.00,google cloud,r&d,18
8881,$475.00,aws,hardware,25
3940,$857.00,google cloud,r&d,5
7476,$62.00,aws,r&d,29
9384,$798.00,amazon,marketing,18
3672,$517.00,google cloud,swe,28
2539,$154.00,testing,hardware,19
3549,$530.00,google cloud,swe,18
2323,$107.00,testing,swe,27
6552,$879.00,aws,marketing,3
4729,$203.00,google cloud,swe,28
2366,$816.00,google cloud,swe,9
6191,$215.00,aws,swe,28
62,$633.00,aws,hardware,10
3578,$514.00,google cloud,r&d,5
2335,$444.00,google cloud,r&d,3
7133,$511.00,amazon,marketing,20
4031,$698.00,aws,marketing,24
1553,$728.00,amazon,hardware,14
4893,$673.00,amazon,hardware,15
4678,$10000.00,unkown,hardware,6
155,$10000.00,unkown,r&d,23
4871,$410.00,amazon,marketing,22
4374,$991.00,aws,swe,24
7272,$679.00,amazon,marketing,14
7839,$206.00,google cloud,swe,21
8089,$449.00,amazon,r&d,29
1455,$816.00,google cloud,r&d,30
9853,$435.00,aws,marketing,23
1250,$576.00,testing,r&d,13
9555,$884.00,testing,hardware,28
851,$292.00,testing,r&d,14
5091,$621.00,amazon,swe,12
8071,$338.00,google cloud,hardware,5
6897,$790.00,testing,r&d,4
5236,$361.00,testing,hardware,17
2495,$671.00,aws,marketing,16
5547,$940.00,google cloud,hardware,1
4180,$390.00,amazon,swe,12
4199,$932.00,aws,marketing,14
3142,$858.00,amazon,hardware,24
4875,$865.00,amazon,hardware,2
5816,$543.00,testing,hardware,7
8464,$595.00,google cloud,marketing,13
8099,$171.00,testing,r&d,26
3552,$405.00,amazon,swe,21
20,$797.00,amazon,swe,19
3339,$948.00,testing,marketing,26
2689,$968.00,aws,r&d,11
4463,$222.00,testing,hardware,7
7130,$404.00,amazon,r&d,6
9141,$934.00,testing,swe,24
7080,$629.00,aws,marketing,7
92,$467.00,testing,r&d,22
7980,$10000.00,unkown,hardware,21
4078,$365.00,testing,r&d,14
4290,$754.00,aws,hardware,13
7816,$497.00,google cloud,swe,17
791,$733.00,aws,hardware,29
3325,$386.00,amazon,hardware,3
1844,$564.00,testing,hardware,22
4292,$519.00,google cloud,hardware,24
4393,$128.00,google cloud,marketing,27
503,$522.00,aws,r&d,18
1801,$982.00,testing,marketing,3
4914,$155.00,google cloud,r&d,3
5912,$938.00,testing,hardware,23
8747,$329.00,amazon,marketing,26
4395,$760.00,testing,r&d,16
3190,$628.00,testing,swe,18
4033,$702.00,testing,marketing,16
7757,$551.00,aws,marketing,16
7960,$95.00,google cloud,swe,12
6373,$768.00,testing,r&d,6
665,$697.00,amazon,swe,18
5982,$551.00,google cloud,swe,9
4418,$827.00,google cloud,hardware,14
6467,$575.00,aws,swe,11
4901,$205.00,amazon,r&d,12
5013,$993.00,google cloud,r&d,20
1838,$789.00,testing,hardware,29
5736,$317.00,aws,hardware,6
5472,$145.00,google cloud,swe,26
3530,$10000.00,unkown,marketing,24
7388,$280.00,testing,marketing,29
5863,$696.00,aws,r&d,10
3609,$290.00,amazon,r&d,25
7230,$262.00,amazon,hardware,15
1647,$10000.00,unkown,r&d,12
7322,$279.00,amazon,swe,30
4994,$422.00,amazon,r&d,10
4913,$204.00,google cloud,swe,26
4634,$921.00,google cloud,r&d,14
9905,$504.00,google cloud,marketing,29
1949,$936.00,google cloud,marketing,29
5710,$59.00,google cloud,r&d,23
3086,$677.00,amazon,marketing,7
8834,$382.00,google cloud,r&d,20
4269,$792.00,testing,marketing,27
5991,$10000.00,unkown,hardware,2
4208,$718.00,google cloud,hardware,14
5489,$449.00,testing,r&d,22
1029,$906.00,aws,r&d,23
1500,$690.00,aws,hardware,5
4928,$106.00,aws,swe,25
4397,$758.00,google cloud,hardware,12
6721,$483.00,aws,swe,25
2473,$535.00,testing,hardware,18
6137,$693.00,testing,r&d,13
3073,$506.00,amazon,marketing,21
5592,$523.00,aws,hardware,5
5229,$738.00,aws,r&d,25
8020,$216.00,google cloud,r&d,11
6820,$945.00,amazon,r&d,22
3322,$368.00,amazon,r&d,14
5076,$878.00,aws,r&d,23
6088,$896.00,amazon,marketing,7
2366,$214.00,google cloud,swe,30
3859,$479.00,google cloud,swe,16
8372,$686.00,testing,swe,9
4171,$820.00,amazon,marketing,23
4347,$790.00,aws,r&d,25
6307,$769.00,aws,r&d,22
5595,$259.00,amazon,swe,19
3662,$742.00,amazon,swe,6
200,$289.00,testing,hardware,11
3843,$520.00,google cloud,hardware,15
5489,$971.00,testing,swe,25
6339,$480.00,google cloud,r&d,28
1846,$671.00,amazon,r&d,18
8678,$511.00,google cloud,swe,27
7449,$584.00,google cloud,marketing,25
6604,$871.00,testing,r&d,17
3521,$169.00,testing,hardware,8
7473,$919.00,google cloud,r&d,23
5818,$752.00,aws,r&d,18
8208,$441.00,google cloud,r&d,20
2946,$292.00,testing,swe,26
8511,$171.00,google cloud,r&d,10
9638,$533.00,aws,marketing,25
7845,$347.00,amazon,r&d,15
9068,$841.00,aws,hardware,17
2642,$889.00,aws,swe,14
8593,$10000.00,unkown,marketing,22
1353,$175.00,aws,marketing,21
5811,$10000.00,unkown,swe,2
842,$160.00,amazon,swe,10
5258,$301.00,aws,r&d,13
7012,$971.00,aws,r&d,17
9067,$646.00,aws,hardware,4
6184,$286.00,google cloud,marketing,4
8479,$415.00,amazon,swe,29
1479,$496.00,testing,marketing,3
9326,$976.00,amazon,r&d,14
6969,$357.00,aws,r&d,24
225,$244.00,amazon,r&d,21
7954,$705.00,amazon,marketing,5
2689,$10000.00,unkown,hardware,13
5805,$78.00,testing,swe,20
7477,$843.00,amazon,hardware,3
2330,$950.00,amazon,hardware,7
4890,$517.00,aws,hardware,19
4543,$466.00,testing,marketing,5
5264,$180.00,aws,r&d,2
7798,$142.00,testing,hardware,30
8516,$144.00,aws,marketing,5
1776,$299.00,amazon,swe,19
9742,$74.00,google cloud,swe,17
1130,$767.00,google cloud,swe,27
2994,$201.00,google cloud,marketing,23
9882,$545.00,amazon,hardware,3
8256,$168.00,testing,hardware,13
325,$360.00,testing,swe,14
6780,$686.00,amazon,swe,23
1082,$10000.00,unkown,r&d,26
2134,$438.00,google cloud,r&d,6
9095,$427.00,aws,r&d,21
7203,$933.00,amazon,r&d,17
8416,$317.00,amazon,hardware,5
2836,$299.00,testing,r&d,17
495,$903.00,google cloud,hardware,25
3853,$578.00,testing,r&d,13
8529,$683.00,testing,marketing,16
8578,$229.00,google cloud,swe,3
7842,$822.00,testing,marketing,1
1342,$373.00,amazon,hardware,25
5888,$247.00,aws,marketing,21
4589,$279.00,google cloud,marketing,7
5913,$632.00,amazon,r&d,29
2111,$930.00,google cloud,swe,21
5570,$256.00,google cloud,swe,9
9203,$672.00,google cloud,marketing,16
5618,$324.00,aws,r&d,8
8394,$982.00,amazon,marketing,6
2591,$531.00,aws,r&d,1
1283,$683.00,google cloud,hardware,12
167,$998.00,testing,r&d,10
8947,$597.00,google cloud,marketing,16
81,$958.00,aws,hardware,18
9236,$362.00,testing,swe,1
5230,$393.00,testing,r&d,23
3122,$440.00,amazon,marketing,20
8082,$799.00,amazon,marketing,9
1762,$204.00,amazon,hardware,20
1401,$184.00,testing,marketing,8
3698,$51.00,testing,hardware,26
2709,$320.00,testing,r&d,23
1288,$994.00,testing,marketing,24
4700,$82.00,testing,hardware,15
